"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","predicted","gold","logits","bleu","rouge","correct"
"rag","68","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who played the detective in little boy blue?","1490","68_5,91_4,91_9,52_3,92_11,52_6,92_13,52_5,52_4,52_11,52_2,92_14,52_1,52_9,92_12","0.4489971995353699,0.45637810230255127,0.45753371715545654,0.4756562113761902,0.477925181388855,0.48253965377807617,0.48315519094467163,0.4875824451446533,0.48763030767440796,0.48785120248794556,0.5004838109016418,0.5007981061935425,0.5010049343109131,0.5011805295944214,0.5030933618545532","Answer: the actor who played the detective in little boy blue was mark","Stephen Graham,Stephen Graham,Stephen Graham,Stephen Graham,Stephen Graham","47.15507125854492,12.255189895629883,24.345521926879883,33.92742919921875,40.71965408325195,23.756614685058594,54.87941360473633,51.36141586303711,52.7637939453125,46.685569763183594,60.146915435791016,45.27156066894531,22.09330940246582,46.663509368896484,30.8345890045166","0","0","0"
"rag","31","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: when was the first horrid henry book written?","1491","31_1,31_2,31_13,31_20,31_17,31_14,31_8,31_4,31_12,91_9,31_6,91_4,31_10,31_18,31_15","0.2772090435028076,0.2907894253730774,0.32342028617858887,0.3517875075340271,0.3563880920410156,0.377848744392395,0.3883167505264282,0.39207345247268677,0.39905476570129395,0.4019697308540344,0.4029165506362915,0.40545105934143066,0.40979427099227905,0.4139273762702942,0.41464948654174805",": the first horrid henry book was written in 1994.","published in 1994,1994,1994,in 1994,1994","45.00236892700195,40.102386474609375,47.445377349853516,54.083221435546875,52.102027893066406,27.67091178894043,32.02505874633789,32.973392486572266,44.67085647583008,42.96926498413086,51.444393157958984,50.35607147216797,50.67790603637695,40.431983947753906,42.99797439575195","0.023457495174891017","0.2593939393939394","0"
"rag","81","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who plays grace in the secret life of the american teenager?","1516","81_3,81_9,81_4,81_2,81_8,81_7,81_6,81_11,81_10,81_1,81_5,92_11,92_10,92_9,92_5","0.22105473279953003,0.2792842984199524,0.3060317039489746,0.3171536326408386,0.3465458154678345,0.3511688709259033,0.35165178775787354,0.3777328133583069,0.3908621668815613,0.4023358225822449,0.4063263535499573,0.4199483394622803,0.44207763671875,0.4427056908607483,0.4448648691177368","Answer: megan park","Megan Park,Megan Park,Megan Park,Megan Park,Megan Park","37.400054931640625,15.37631607055664,26.9490966796875,42.877838134765625,30.65147590637207,24.729572296142578,30.895526885986328,33.054561614990234","0","0.8","0"
"rag","63","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who has won the canada open women's doubles?","1515","63_2,63_1,63_23,63_24,63_4,81_2,81_11,92_13,81_3,81_10,81_4,81_15,92_16,81_9,92_14","0.3157445192337036,0.31920361518859863,0.36913561820983887,0.39946460723876953,0.42415910959243774,0.43896007537841797,0.45432543754577637,0.47346484661102295,0.4742867350578308,0.478168249130249,0.4794071912765503,0.480319619178772,0.4807528853416443,0.48291856050491333,0.4880836606025696",": megan park and kimberly birch have won the","Mayu Matsumoto,Wakana Nagahara,Mayu Matsumoto,Wakana Nagahara","45.203407287597656,44.3543701171875,32.43262481689453,26.868310928344727,28.846994400024414,37.60639572143555,28.684438705444336,26.707298278808594,15.051311492919922,33.139007568359375,17.495445251464844,22.206480026245117,19.98904037475586,53.737762451171875,52.0760498046875","0","0","0"
"rag","45","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where does the last name waller come from?","1496","45_10,45_1,45_5,45_9,91_1,45_2,91_4,45_8,45_3,91_7,45_7,45_11,91_6,91_3,91_2","0.29629606008529663,0.34638142585754395,0.3845043182373047,0.3963644504547119,0.39747780561447144,0.40219926834106445,0.40541863441467285,0.4097903370857239,0.41125762462615967,0.41832435131073,0.4192694425582886,0.4207264184951782,0.4231787323951721,0.4299112558364868,0.4314461350440979","Waller ( surname ) Jump to : navigation, search Waller is","Anglo - Saxon origin","41.11969757080078,13.529258728027344,50.41993713378906,30.678871154785156,23.55533790588379,36.949398040771484,49.24662780761719,45.0893440246582,45.83683395385742,33.091835021972656,45.0748291015625,26.362606048583984,56.55607986450195,46.67814254760742,38.61637878417969","0","0","0"
"rag","53","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who wrote how do you do it by gerry and the pacemakers?","1488","53_1,53_2,53_10,53_11,53_4,53_3,53_5,53_6,53_9,53_8,63_1,45_2,68_13,68_1,92_11","0.32498884201049805,0.333340585231781,0.3793262839317322,0.38536107540130615,0.40756726264953613,0.41302943229675293,0.4188576340675354,0.4198111295700073,0.4393329620361328,0.44679808616638184,0.47127771377563477,0.47790300846099854,0.4901524782180786,0.490641713142395,0.5003286600112915",": Mitch Murray. How do you do it? How do you do","Mitch Murray,Mitch Murray,Mitch Murray,Mitch Murray","46.091400146484375,39.62266540527344,53.76370620727539,58.09091567993164,39.49074935913086,45.01133728027344,53.54979705810547,33.9511833190918,49.04698181152344,48.29320526123047,37.648677825927734,28.52203369140625,54.35065460205078,49.66080093383789,58.42255401611328","0.020044994979069072","0.3076923076923077","0"
"rag","67","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: what type of reproduction do whiptail lizards use?","1516","67_8,67_5,67_4,67_1,92_11,92_9,67_10,67_7,67_6,92_12,67_11,92_10,67_9,67_3,92_8","0.2589128017425537,0.2697560787200928,0.27174580097198486,0.33448725938796997,0.3426988124847412,0.3449394702911377,0.3538898825645447,0.35483038425445557,0.35718244314193726,0.3596958518028259,0.3610221743583679,0.365634024143219,0.3667603135108948,0.3795086741447449,0.3822842836380005",") sexual B) asexual C) parthenogenic D) ov","parthenogenesis,Parthenogenesis,Parthenogenesis,parthenogenic,parthenogenesis","37.30622482299805,30.322011947631836,26.8428897857666,30.456954956054688,35.36172866821289,29.187747955322266,29.507381439208984,42.607906341552734,34.46186828613281,20.420963287353516,27.802515029907227,17.815956115722656,46.36131286621094,37.029537200927734,17.550004959106445","0.028599617161713803","0.05","0"
"rag","78","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sings i don't want to be lonely?","1460","78_1,78_11,78_3,78_7,78_12,78_4,78_8,78_2,78_9,78_5,45_2,78_6,78_13,78_10,92_11","0.28906744718551636,0.2971785068511963,0.30753159523010254,0.3942387104034424,0.3966296911239624,0.4068424105644226,0.4075840711593628,0.4149930477142334,0.4252181053161621,0.4410231113433838,0.44170475006103516,0.46764230728149414,0.47869014739990234,0.4962348937988281,0.49988192319869995",": ronnie dyson, the main ingredient, and regine","Ronnie Dyson","42.35841751098633,39.98775100708008,44.08645248413086,30.568187713623047,30.11187744140625,18.644371032714844,35.204593658447266,37.17744445800781,33.447200775146484,33.220054626464844,21.71555519104004,41.43594741821289,32.51734161376953,34.51825714111328,32.20792007446289","0","0.4444444444444445","0"
"rag","27","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who wrote song what a friend we have in jesus?","1515","27_1,27_3,27_6,27_2,27_14,27_17,27_18,27_19,27_4,27_10,27_5,27_15,27_20,78_11,27_11","0.19161009788513184,0.26103246212005615,0.31596559286117554,0.3249412178993225,0.3253626823425293,0.3261476755142212,0.3362852931022644,0.3566843867301941,0.3603867292404175,0.3615148663520813,0.37693315744400024,0.3785349130630493,0.3893042802810669,0.41419506072998047,0.4187859892845154","What a Friend We Have in Jesus - Wikipedia What a Friend We Have","Joseph M. Scriven,Joseph M. Scriven,Joseph M. Scriven,Charles Crozat Converse,William Bolcom,Joseph M. Scriven,Charles Crozat Converse","44.192657470703125,12.653632164001465,47.73098373413086,58.548465728759766,55.06344223022461,53.7372932434082,53.94697189331055,53.67810821533203,17.939529418945312,29.203170776367188,21.498624801635742,52.01887130737305,49.39884948730469,49.054649353027344,47.23469161987305","0","0","0"
"rag","39","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who is the original singer of just when i needed you most?","1515","39_3,39_2,39_10,39_1,39_8,39_9,39_6,39_4,39_11,78_7,78_1,78_11,78_3,39_5,78_4","0.2682076096534729,0.2718687057495117,0.2754986882209778,0.2869418263435364,0.30427342653274536,0.3529732823371887,0.3686366081237793,0.3715851306915283,0.38665294647216797,0.389693021774292,0.39887118339538574,0.39902883768081665,0.39992475509643555,0.40041542053222656,0.41947948932647705"," Quora Just When I Needed You Most - Wikipedia Just When I","Randy VanWarmer,Randy VanWarmer,Randy VanWarmer,Randy VanWarmer","40.58543014526367,20.274961471557617,21.73638916015625,30.148006439208984,45.662933349609375,52.997737884521484,38.53585433959961,22.819196701049805,48.81614303588867,41.300811767578125,20.0837459564209,34.14707565307617,26.286767959594727,45.12760925292969,51.893489837646484","0","0","0"
"rag","69","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: what allows chyme to enter the small intestine?","1513","69_8,69_5,69_7,69_6,69_4,92_9,69_3,92_11,69_2,69_9,92_8,92_12,92_10,92_5,92_13","0.24135839939117432,0.24411344528198242,0.24677538871765137,0.2542860507965088,0.26042652130126953,0.2841280698776245,0.2995227575302124,0.3029528856277466,0.3151280879974365,0.3220778703689575,0.3382520079612732,0.34970277547836304,0.38077449798583984,0.39796173572540283,0.418904185295105",": the production of bicarbonate by the pancreas and the contraction of","pyloric valve,the pyloric valve,the pyloric valve","45.80060958862305,41.32769775390625,29.856464385986328,27.991289138793945,45.70229721069336,38.64963150024414,27.078533172607422,37.82155227661133,27.248828887939453,34.77736282348633,34.53988265991211,37.62282943725586,32.11921310424805,26.899784088134766,45.0380744934082","0.020044994979069072","0.09523809523809525","0"
"rag","42","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where would the group bacteroids likely be found?","1513","42_7,92_9,42_2,69_5,92_11,69_6,42_5,42_6,42_16,92_12,42_4,69_7,92_8,42_3,92_10","0.2624795436859131,0.2630716562271118,0.2969542145729065,0.3151792883872986,0.3162776827812195,0.33445167541503906,0.33804982900619507,0.347057580947876,0.347348153591156,0.35156315565109253,0.353255033493042,0.36451107263565063,0.3646143674850464,0.3701251745223999,0.37271666526794434",": in the large intestine. Bacteroids are part of the normal","human colon,human colon,the human colon,human colon","38.906673431396484,40.82325744628906,33.976844787597656,37.23015594482422,34.70803451538086,41.691898345947266,37.14900207519531,41.16278076171875,27.667011260986328,20.847074508666992,38.65177536010742,26.82086181640625,35.8548583984375,35.690391540527344,24.477127075195312","0.021598265052211615","0.03846153846153846","0"
"rag","66","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where does the last name andersen originate from?","1457","66_2,66_1,66_11,66_9,66_3,66_4,66_10,66_12,66_7,66_8,69_1,66_6,66_5,67_13,67_12","0.3228690028190613,0.3356349468231201,0.3563757538795471,0.37018007040023804,0.37676364183425903,0.37686216831207275,0.38014864921569824,0.38451796770095825,0.3884761929512024,0.39317744970321655,0.40109342336654663,0.4182448387145996,0.4224579930305481,0.4275771975517273,0.4294322729110718","Answer: the last name andersen is a patronymic surname","Danish,Norwegian","44.7736701965332,13.543011665344238,36.67779541015625,48.773704528808594,49.511470794677734,53.09428405761719,28.584901809692383,35.423912048339844,30.80549430847168,59.63099670410156,43.6953125,44.49690246582031,29.18033218383789,43.37377166748047,46.54845428466797","0","0","0"
"rag","9","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: how long did the democrats control the house and senate?","1422","9_3,9_4,9_1,9_6,9_2,9_7,9_5,9_8,9_9,69_5,67_10,67_9,66_9,67_13,67_11","0.17529022693634033,0.23830759525299072,0.24319922924041748,0.26847922801971436,0.2828674912452698,0.2975366711616516,0.2985649108886719,0.4113146662712097,0.4232071042060852,0.452945351600647,0.46565717458724976,0.46615028381347656,0.46704918146133423,0.46882498264312744,0.47009748220443726",": from 2007 to 2011. The democrats controlled the house and sen","57 yrs,57 yrs,57 yrs,35 yrs","46.72563552856445,39.54340362548828,40.22615051269531,34.17095184326172,53.477176666259766,42.555450439453125,46.25520706176758,46.85676956176758,44.81440353393555,51.40433120727539,49.09123992919922,44.59733200073242,54.052154541015625,49.08245086669922,49.16064453125","0","0","0"
"rag","26","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sang in the movie i walk the line?","1514","26_1,26_8,26_5,26_11,26_6,26_2,26_4,26_9,26_13,26_10,26_7,26_3,66_8,66_5,67_9","0.28540122509002686,0.33067286014556885,0.3733534812927246,0.39054250717163086,0.4094553589820862,0.4098881483078003,0.41790103912353516,0.43802642822265625,0.4563213586807251,0.45652520656585693,0.4656418561935425,0.4696859121322632,0.47600460052490234,0.48486918210983276,0.4982559084892273","Walk the Line ( soundtrack ) - wikipedia Walk the Line ( soundtrack","Joaquin Phoenix,Reese Witherspoon,Waylon Payne,Johnathan Rice,Tyler Hilton,Shooter Jennings","42.76844787597656,13.887361526489258,46.73699188232422,54.449684143066406,23.966806411743164,24.332366943359375,32.9300537109375,38.992523193359375,40.65309524536133,33.57605743408203,30.002763748168945,46.47287368774414,50.6190299987793,36.70624542236328,32.57925796508789","0","0","0"
"rag","59","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who is the premier of northern cape 2018?","1334","59_2,59_1,59_5,59_4,59_6,59_7,59_3,67_1,42_21,67_12,67_9,66_12,66_8,67_5,67_13","0.27426719665527344,0.28925108909606934,0.333443820476532,0.34293025732040405,0.3884471654891968,0.3992185592651367,0.424055278301239,0.5136123299598694,0.5156176090240479,0.5219325423240662,0.5372971892356873,0.5384325385093689,0.5429586172103882,0.5444386005401611,0.5496549606323242","The Premier of the Northern Cape is the head of government of the Northern","Sylvia Lucas,Sylvia Lucas,Sylvia Lucas,Sylvia Lucas,Sylvia Lucas","41.9752311706543,10.895081520080566,59.32959747314453,48.4515380859375,60.28547668457031,61.38838577270508,48.737091064453125,43.373172760009766,52.231903076171875,49.7016716003418,48.09270095825195,50.824790954589844,47.91487121582031,45.79278564453125,54.297916412353516","0","0","0"
"rag","18","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who owns the biggest house in beverly hills?","1517","18_2,18_1,18_9,18_15,18_16,18_8,18_20,18_18,18_12,18_21,18_19,18_6,18_4,18_17,18_11","0.28133147954940796,0.3149183392524719,0.32649511098861694,0.3312866687774658,0.3436257839202881,0.3574678897857666,0.3781595230102539,0.3926697373390198,0.39619362354278564,0.39849263429641724,0.4008021950721741,0.4101778268814087,0.41100364923477173,0.41693127155303955,0.4269108772277832",". Quora.com. Retrieved March 12, 2017. Jump","Anthony Pritzker,Anthony Pritzker,Anthony Pritzker,Anthony Pritzker","38.84586715698242,44.03376770019531,46.21676254272461,33.13922119140625,45.890785217285156,47.30516815185547,60.12470245361328,58.38866424560547,30.218076705932617,62.197021484375,62.8360595703125,46.17665481567383,48.111244201660156,50.223243713378906,49.03929138183594","0","0","0"
"rag","89","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sings god is great beer is good?","1493","89_6,89_4,89_9,89_2,89_15,89_5,89_14,89_16,89_3,89_1,89_8,89_7,89_17,69_9,89_11","0.29779815673828125,0.35648584365844727,0.40732723474502563,0.4101245403289795,0.4124873876571655,0.4201939105987549,0.42148357629776,0.42323678731918335,0.42710936069488525,0.4316408038139343,0.4320657253265381,0.4381687641143799,0.4572715759277344,0.48042672872543335,0.4830402135848999",": Billy Currington..........","Currington","41.86988067626953,46.62602615356445,53.953182220458984,39.364131927490234,23.27777671813965,36.163124084472656,34.3283576965332,34.7838134765625,40.7763786315918,39.40087890625,40.10523986816406,39.74269104003906,39.95262908935547,39.50644302368164,39.184486389160156","0","0.6666666666666666","0"
"rag","87","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: what does the air gap do on a dishwasher?","1517","87_4,87_1,87_2,87_3,87_6,87_5,87_7,87_9,87_8,18_1,42_7,89_4,42_2,42_5,18_2","0.25036513805389404,0.2542688846588135,0.2578709125518799,0.26827573776245117,0.311614990234375,0.31573671102523804,0.35154515504837036,0.39258331060409546,0.4103567600250244,0.43236666917800903,0.4429894685745239,0.4447926878929138,0.4543907046318054,0.45529329776763916,0.45842093229293823","Air gap ( plumbing ) - wikipedia
Air gap ( plumbing )","backflow prevention","48.314414978027344,12.263374328613281,55.28330612182617,30.245447158813477,23.359716415405273,39.55622863769531,24.044979095458984,40.493900299072266,32.77370071411133,31.60995864868164,17.00165367126465,51.48113250732422,27.357074737548828,27.892196655273438,38.92827224731445","0","0","0"
"rag","97","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who is the first indian climber of mount everest?","1486","97_6,97_11,97_12,97_1,97_8,97_10,97_21,97_2,97_3,97_5,97_19,97_7,97_9,97_4,97_20","0.23191183805465698,0.24118643999099731,0.2415497899055481,0.256736159324646,0.2613688111305237,0.26428931951522827,0.27404868602752686,0.2816028594970703,0.2837105393409729,0.2883177399635315,0.29847460985183716,0.3085857033729553,0.3108372092247009,0.31829482316970825,0.32228583097457886",": the first indian climber of mount everest was bac","Bachendri Pal","50.0155029296875,44.499061584472656,47.20758819580078,50.526451110839844,54.317352294921875,47.84334945678711,55.967769622802734,50.777259826660156,53.85490036010742,66.98890686035156,47.8720588684082,28.039278030395508,45.79326629638672,29.675262451171875,21.416553497314453","0","0","0"
"rag","7","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: what is in a pat o brien hurricane?","1513","87_4,87_2,87_1,87_5,87_6,7_5,87_7,89_7,89_9,89_3,89_17,89_4,89_15,89_6,89_5","0.3611154556274414,0.3830025792121887,0.393563449382782,0.39561164379119873,0.4074223041534424,0.4109134078025818,0.4124072194099426,0.4282897114753723,0.4312083125114441,0.43438029289245605,0.4344874620437622,0.43516838550567627,0.44104814529418945,0.4515354633331299,0.45237869024276733",": a mix of ingredients including: lime juice, lemon juice, simple","rum,fruit juice,syrup or grenadine","37.26853942871094,45.160404205322266,27.25543975830078,25.154685974121094,33.721553802490234,32.08576202392578,40.44057846069336,30.749231338500977,30.753154754638672,47.66853713989258,42.88957595825195,28.309125900268555,46.92837905883789,50.88002014160156,32.16655731201172","0","0.05555555555555556","0"
