"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","perplexity"
"60","20","beam","5","30","Answer the question: what's the difference between salisbury steak and hamburger steak?","1","80,79,61,46,65","2864.436279296875"
"61","20","beam","5","30","Answer the question: where is the heart of palm on a palm tree?","1","80,79,61,46,65","16336.771484375"
"62","20","beam","5","30","Answer the question: who won the 10m air pistol gold medal at commonwealth shooting championship in brisbane australia?","1","80,79,61,46,65","5847.6083984375"
"63","20","beam","5","30","Answer the question: how old do you have to be to get a gun licence in nz?","1","80,79,61,46,65","8398.7333984375"
"64","20","beam","5","30","Answer the question: what is the meaning of gorakh dhanda in urdu?","1","80,79,61,46,65","7755.7822265625"
"65","20","beam","5","30","Answer the question: when did the song things that make you go hmmm come out?","1","29,98,8,58,11","8345.7412109375"
"66","20","beam","5","30","Answer the question: cast of the have and have nots play?","1","29,98,8,58,11","19686.560546875"
"67","20","beam","5","30","Answer the question: where does the last name orozco originate from?","1","29,98,8,58,11","31501.63671875"
"68","20","beam","5","30","Answer the question: what is the name of india pakistan border?","1","29,98,8,58,11","15397.2021484375"
"69","20","beam","5","30","Answer the question: which british city is farthest from the sea?","1","29,98,8,58,11","14177.953125"
"70","20","beam","5","30","Answer the question: who played mrs warboys in one foot in the grave?","1","35,19,40,82,4","4324.88134765625"
"71","20","beam","5","30","Answer the question: who stepped out of the dithyrambic chorus to become the first actor?","1","35,19,40,82,4","15131.7412109375"
"72","20","beam","5","30","Answer the question: where was the salvation army's christmas collection kettle first introduced?","1","35,19,40,82,4","32611.330078125"
"73","20","beam","5","30","Answer the question: sequel to a christmas story it runs in the family?","1","35,19,40,82,4","37136.234375"
"74","20","beam","5","30","Answer the question: where was because i could not stop for death published?","1","35,19,40,82,4","30296.2421875"
"75","20","beam","5","30","Answer the question: where does kfc get their chicken in south africa?","1","43,88,28,10,37","6920.2548828125"
"76","20","beam","5","30","Answer the question: who won the super heavyweight gold medal at the 2000 olympics?","1","43,88,28,10,37","6882.3056640625"
"77","20","beam","5","30","Answer the question: when did men's curling start in the olympics?","1","43,88,28,10,37","11229.85546875"
"78","20","beam","5","30","Answer the question: which state is the richest state in nigeria?","1","43,88,28,10,37","33165.12109375"
"79","20","beam","5","30","Answer the question: who wrote if she knew what she wants?","1","43,88,28,10,37","29613.177734375"
"80","20","beam","5","30","Answer the question: where was the film coming home for christmas filmed?","1","86,5,94,56,6","33790.1328125"
"81","20","beam","5","30","Answer the question: who plays the mother of howard on big bang theory?","1","86,5,94,56,6","25531.125"
"82","20","beam","5","30","Answer the question: who was the dj on in living color?","1","86,5,94,56,6","70152.734375"
"83","20","beam","5","30","Answer the question: when did the granite mountain hotshots get certified?","1","86,5,94,56,6","96935.953125"
"84","20","beam","5","30","Answer the question: who has been appointed as the election commissioner of india?","1","86,5,94,56,6","8628.46875"
"85","20","beam","5","30","Answer the question: what is the ultimate objective of financial management?","1","76,72,85,90,48","38635.3515625"
"86","20","beam","5","30","Answer the question: new movie of ajay devgan and sonakshi sinha?","1","76,72,85,90,48","38977.90625"
"87","20","beam","5","30","Answer the question: who kidnapped ben in the deep end of the ocean?","1","76,72,85,90,48","31113.466796875"
"88","20","beam","5","30","Answer the question: university of michigan school of public health ranking?","1","76,72,85,90,48","72885.6953125"
"89","20","beam","5","30","Answer the question: what is the name of the gap between two front teeth?","1","76,72,85,90,48","31758.8203125"
"90","20","beam","5","30","Answer the question: who plays colin on young and the restless?","1","0,49,95,73,30","11756.357421875"
"91","20","beam","5","30","Answer the question: when was the last time tug-of-war was an official olympic sport?","1","0,49,95,73,30","7009.3515625"
"92","20","beam","5","30","Answer the question: who is the actress who plays baker on blue bloods?","1","0,49,95,73,30","15882.6591796875"
"93","20","beam","5","30","Answer the question: what is the function of the pericardial sac?","1","0,49,95,73,30","5727.859375"
"94","20","beam","5","30","Answer the question: who won the 2017 sports personality of the year?","1","0,49,95,73,30","21278.65625"
"95","20","beam","5","30","Answer the question: when did bihar bifurcate from bengal and some parts of chota nagpur merged into bengal?","1","62,34,99,64,3","3872.76318359375"
"96","20","beam","5","30","Answer the question: what was the first capital city of australia?","1","62,34,99,64,3","23341.099609375"
"97","20","beam","5","30","Answer the question: who is the young man in hawthorne's my kinsman major molineux?","1","62,34,99,64,3","23674.57421875"
"98","20","beam","5","30","Answer the question: who is the authority or governing body of mca?","1","62,34,99,64,3","32406.6171875"
"99","20","beam","5","30","Answer the question: who invented the cornell method of note taking?","1","62,34,99,64,3","22754.873046875"
