"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","perplexity"
"rag","69","15","1","10","beam","facebook/contriever",". Question: what allows chyme to enter the small intestine?","1012","69_6,69_8,69_7,69_2,69_3,69_1,69_4,69_9,69_5,69_10","0.4046139717102051,0.4295269846916199,0.43446046113967896,0.43525123596191406,0.4438047409057617,0.4596768617630005,0.47879457473754883,0.5601692199707031,0.6156278848648071,0.6461453437805176","10.466720581054688"
"rag","42","15","1","10","beam","facebook/contriever",". Question: where would the group bacteroids likely be found?","1014","42_1,42_11,42_20,42_7,42_4,42_8,42_9,42_2,42_12,42_16","0.5250421762466431,0.5332707166671753,0.5460395812988281,0.5513339042663574,0.5516132712364197,0.5585020780563354,0.566486120223999,0.5719107389450073,0.5878908038139343,0.593165397644043","11.751385688781738"
"rag","66","15","1","10","beam","facebook/contriever",". Question: where does the last name andersen originate from?","1014","66_1,66_11,66_10,66_9,66_6,66_2,66_3,66_4,66_5,66_8","0.3935396075248718,0.438160240650177,0.4560062885284424,0.48220503330230713,0.4909549355506897,0.4929755926132202,0.5098766684532166,0.5133523344993591,0.5196563005447388,0.556255578994751","10.306398391723633"
"rag","9","15","1","10","beam","facebook/contriever",". Question: how long did the democrats control the house and senate?","879","9_3,9_4,9_5,9_1,9_6,9_7,9_9,9_8,9_2","0.3648809790611267,0.3780578374862671,0.42609357833862305,0.44097596406936646,0.44205808639526367,0.5233578681945801,0.5400733947753906,0.5577027797698975,0.5620983839035034","6.3981852531433105"
"rag","26","15","1","10","beam","facebook/contriever",". Question: who sang in the movie i walk the line?","933","26_1,26_3,26_13,26_10,26_15,26_5,26_6,26_8,26_9,26_7","0.5105039477348328,0.554020881652832,0.6335201263427734,0.6375128626823425,0.6430882215499878,0.6549731492996216,0.6735518574714661,0.6765432357788086,0.6767439246177673,0.6805295944213867","11.0264892578125"
"rag","59","15","1","10","beam","facebook/contriever",". Question: who is the premier of northern cape 2018?","641","59_1,59_2,59_7,59_6,59_3,59_5,59_4","0.41659873723983765,0.42278027534484863,0.4241619110107422,0.523210883140564,0.5432614684104919,0.5451604127883911,0.6023313999176025","12.234485626220703"
"rag","18","15","1","10","beam","facebook/contriever",". Question: who owns the biggest house in beverly hills?","1015","18_2,18_9,18_1,18_18,18_12,18_16,18_15,18_20,18_19,18_7","0.47363054752349854,0.47492289543151855,0.5138211250305176,0.5144292116165161,0.5161200761795044,0.5620560646057129,0.5644933581352234,0.5733629465103149,0.5758461356163025,0.5902000069618225","9.971221923828125"
"rag","89","15","1","10","beam","facebook/contriever",". Question: who sings god is great beer is good?","994","89_6,89_4,89_12,89_16,89_15,89_9,89_10,89_3,89_11,89_14","0.6150150299072266,0.6249012351036072,0.6943514347076416,0.7023444771766663,0.7061219811439514,0.7121145725250244,0.7175823450088501,0.7223494052886963,0.7396936416625977,0.7398172616958618","13.398759841918945"
"rag","87","15","1","10","beam","facebook/contriever",". Question: what does the air gap do on a dishwasher?","1016","87_3,87_4,87_1,87_2,87_7,87_8,87_6,87_9,87_5,87_10","0.3667505979537964,0.4300895929336548,0.4378095269203186,0.4572923183441162,0.5096907019615173,0.5272849202156067,0.5489606857299805,0.5904387831687927,0.6430841088294983,0.6581639647483826","12.134842872619629"
"rag","97","15","1","10","beam","facebook/contriever",". Question: who is the first indian climber of mount everest?","989","97_3,97_21,97_12,97_20,97_11,97_19,97_10,97_4,97_16,97_2","0.4017638564109802,0.4026322364807129,0.41009169816970825,0.4169754981994629,0.4217979311943054,0.4218275547027588,0.4265979528427124,0.4385465979576111,0.4429619312286377,0.4518303871154785","12.731685638427734"
"rag","7","15","1","10","beam","facebook/contriever",". Question: what is in a pat o brien hurricane?","918","7_5,7_1,7_2,7_4,7_3,7_14,7_6,7_15,7_11,7_10","0.5481581687927246,0.558310866355896,0.5787479281425476,0.6106870770454407,0.6664630770683289,0.6907744407653809,0.7014851570129395,0.7050387859344482,0.7278120517730713,0.7458450794219971","24.684247970581055"
"rag","44","15","1","10","beam","facebook/contriever",". Question: what is the name of son of lord krishna?","1014","44_16,44_14,44_18,44_8,44_10,44_2,44_9,44_1,44_3,44_5","0.5411081314086914,0.5527166128158569,0.5587036609649658,0.5729057788848877,0.5770131349563599,0.5790820121765137,0.5799317955970764,0.581987738609314,0.5846081376075745,0.5883641242980957","13.085161209106445"
"rag","84","15","1","10","beam","facebook/contriever",". Question: who played anna in once upon a time?","870","84_5,84_1,84_4,84_6,84_3,84_9,84_2,84_7,84_8","0.49166935682296753,0.5056591629981995,0.5601989030838013,0.5788911581039429,0.586676836013794,0.6378819942474365,0.7258912324905396,0.7276316285133362,0.8176568746566772","7.741578578948975"
"rag","96","15","1","10","beam","facebook/contriever",". Question: what is the average salary for a us congressman?","963","96_14,96_11,96_13,96_1,96_12,96_4,96_3,96_8,96_9,96_5","0.45694220066070557,0.516711413860321,0.5188654661178589,0.5326018333435059,0.5886735320091248,0.5923687815666199,0.6362287402153015,0.6472289562225342,0.6489533185958862,0.6560187339782715","13.431373596191406"
"rag","15","15","1","10","beam","facebook/contriever",". Question: what type of joint connects the incus with the malleus?","625","15_1,15_2,15_5,15_3,15_6,15_4,15_7","0.48296523094177246,0.5170431137084961,0.5362873673439026,0.5548588037490845,0.636883556842804,0.672742486000061,0.7211869955062866","13.060441970825195"
"rag","17","15","1","10","beam","facebook/contriever",". Question: when was the lupus foundation of america founded?","1012","17_4,17_12,17_2,17_6,17_7,17_5,17_1,17_11,17_9,17_3","0.32590460777282715,0.32829898595809937,0.3409995436668396,0.35542935132980347,0.3610023856163025,0.3688739538192749,0.37024807929992676,0.37910306453704834,0.39022600650787354,0.39193952083587646","7.451236248016357"
"rag","41","15","1","10","beam","facebook/contriever",". Question: what started the war between us and japan?","1016","41_3,41_1,41_17,41_8,41_2,41_5,41_4,41_10,41_16,41_12","0.5222247242927551,0.522724986076355,0.5249277949333191,0.5263946056365967,0.5295814275741577,0.5383033752441406,0.5436258316040039,0.5480446219444275,0.5555620193481445,0.5620326995849609","11.16212272644043"
"rag","24","15","1","10","beam","facebook/contriever",". Question: who sang i put a spell on you in hocus pocus?","1017","24_13,24_1,24_21,24_12,24_3,24_18,24_2,24_5,24_8,24_4","0.5742484927177429,0.5820406675338745,0.6370190382003784,0.6575347185134888,0.6612219214439392,0.6727274656295776,0.6793181896209717,0.6793614625930786,0.6916756629943848,0.6987118124961853","11.745951652526855"
"rag","21","15","1","10","beam","facebook/contriever",". Question: who played jennifer in back to the future?","1014","21_2,21_7,21_6,21_3,21_10,21_8,21_13,21_4,21_12,21_11","0.5505571961402893,0.5547624230384827,0.5555531978607178,0.5580108761787415,0.5644217133522034,0.6006403565406799,0.608851432800293,0.6103237271308899,0.6157246828079224,0.6256917715072632","16.543315887451172"
"rag","22","15","1","10","beam","facebook/contriever",". Question: where are the cardiac and vasomotor centers found?","849","22_1,22_8,22_2,22_3,22_5,22_4,22_7,22_9,22_6","0.4481939673423767,0.5787686109542847,0.5818320512771606,0.6390604376792908,0.655532956123352,0.6894852519035339,0.7006354928016663,0.711390495300293,0.719423770904541","15.09851360321045"
"rag","50","15","1","10","beam","facebook/contriever",". Question: who was the first to say i'm going to disney world?","1016","50_1,50_17,50_15,50_20,50_14,50_18,50_3,50_7,50_6,50_12","0.4484078884124756,0.5278307795524597,0.5402358174324036,0.5592242479324341,0.5883681774139404,0.6065494418144226,0.6138380765914917,0.6415847539901733,0.6416415572166443,0.6472541689872742","15.236638069152832"
"rag","12","15","1","10","beam","facebook/contriever",". Question: who sings the whiskey ain't workin anymore?","1013","12_1,12_2,12_9,12_16,12_3,12_17,12_7,12_11,12_15,12_8","0.48400068283081055,0.5222890973091125,0.5238503813743591,0.5523384809494019,0.5726422667503357,0.5811771154403687,0.5994148850440979,0.6033036708831787,0.6066684722900391,0.6083726286888123","9.106371879577637"
"rag","20","15","1","10","beam","facebook/contriever",". Question: this inventor co-created the film fred ott’s sneeze?","936","20_1,20_7,20_2,20_6,20_8,20_5,20_3,20_4,20_10,20_9","0.41650551557540894,0.4188894033432007,0.5060347318649292,0.5550219416618347,0.5772334337234497,0.6549433469772339,0.6942148208618164,0.7386088371276855,0.7467888593673706,0.7892817258834839","8.944144248962402"
"rag","71","15","1","10","beam","facebook/contriever",". Question: what goes on the bottom of shepherd's pie?","1015","71_1,71_4,71_3,71_2,71_9,71_6,71_11,71_5,71_10,71_24","0.44567710161209106,0.4787258505821228,0.49661076068878174,0.5282909870147705,0.5584967136383057,0.5673633813858032,0.598293662071228,0.615800142288208,0.6226745843887329,0.633080005645752","11.504012107849121"
"rag","75","15","1","10","beam","facebook/contriever",". Question: who sang the most number of songs in the world?","931","75_1,75_19,75_4,75_18,75_17,75_2,75_5,75_3,75_20,75_24","0.5755903720855713,0.5797280073165894,0.5990933179855347,0.6169468760490417,0.6341723799705505,0.6342025399208069,0.6350067853927612,0.6354698538780212,0.6553707122802734,0.6601325273513794","13.010985374450684"
"rag","57","15","1","10","beam","facebook/contriever",". Question: who owns spirit of the suwannee music park?","661","57_1,57_3,57_6,57_2,57_5,57_4,57_7","0.3719768524169922,0.4020054340362549,0.4673457145690918,0.49903035163879395,0.5145445466041565,0.7305008172988892,0.7510464191436768","8.155677795410156"
"rag","36","15","1","10","beam","facebook/contriever",". Question: who is the singer of kal ho na ho?","945","36_1,36_10,36_7,36_6,36_2,36_8,36_5,36_12,36_4,36_3","0.44319939613342285,0.4930879473686218,0.5089904069900513,0.5458201766014099,0.5504475831985474,0.588206946849823,0.6013065576553345,0.6275663375854492,0.6324460506439209,0.6418994665145874","8.35806655883789"
"rag","13","15","1","10","beam","facebook/contriever",". Question: what episode does marnie come back in geordie shore?","886","13_1,13_5,13_11,13_12,13_9,13_3,13_10,13_4,13_13,13_6","0.4778022766113281,0.5006505250930786,0.5314944982528687,0.535802960395813,0.5439991354942322,0.5725865364074707,0.5798505544662476,0.5972585082054138,0.6022422909736633,0.6742508411407471","7.846305847167969"
"rag","55","15","1","10","beam","facebook/contriever",". Question: is jaffa cakes a biscuit or a cake?","1013","55_2,55_8,55_1,55_3,55_10,55_15,55_4,55_6,55_7,55_11","0.3880839943885803,0.3928682208061218,0.419094443321228,0.431296706199646,0.4692586660385132,0.4809751510620117,0.4826529026031494,0.48388051986694336,0.4875800609588623,0.4895903468132019","11.495534896850586"
"rag","14","15","1","10","beam","facebook/contriever",". Question: who sings love will keep us alive by the eagles?","1017","14_1,14_12,14_10,14_2,14_11,14_14,14_9,14_15,14_6,14_13","0.4593600034713745,0.5401599407196045,0.5420815348625183,0.544211208820343,0.544853925704956,0.5466669797897339,0.561795711517334,0.5839459896087646,0.6020498275756836,0.6064813137054443","11.262557983398438"
"rag","70","15","1","10","beam","facebook/contriever",". Question: who sings the theme song for the tv show cops?","927","70_6,70_7,70_1,70_2,70_13,70_11,70_18,70_12,70_8,70_10","0.5210562944412231,0.6393316984176636,0.6560080051422119,0.6584922075271606,0.6615136861801147,0.6638271808624268,0.6725887656211853,0.680621862411499,0.6863433122634888,0.6992186307907104","8.485664367675781"
"rag","2","15","1","10","beam","facebook/contriever",". Question: when did 10 shilling note go out of circulation?","1015","2_1,2_3,2_5,2_8,2_11,2_2,2_4,2_7,2_6,2_10","0.40523284673690796,0.4317532181739807,0.43309473991394043,0.47953593730926514,0.4801640510559082,0.48673635721206665,0.4975208044052124,0.5015979409217834,0.5170259475708008,0.521019697189331","11.636402130126953"
"rag","47","15","1","10","beam","facebook/contriever",". Question: who sang the songs on walk the line?","932","47_1,47_3,47_13,47_10,47_8,47_5,47_15,47_6,47_9,47_7","0.507867693901062,0.5593587160110474,0.6151098012924194,0.645528256893158,0.6666895151138306,0.6699022650718689,0.6722624897956848,0.6748987436294556,0.6774647235870361,0.6810144782066345","10.876249313354492"
"rag","77","15","1","10","beam","facebook/contriever",". Question: who sang the song should have been a cowboy?","1017","77_1,77_5,77_6,77_7,77_9,77_11,77_2,77_17,77_10,77_16","0.4921010732650757,0.5544655323028564,0.5807192921638489,0.5842263698577881,0.589779794216156,0.6128149032592773,0.613422691822052,0.6225957274436951,0.6244182586669922,0.6256378889083862","10.20079231262207"
"rag","1","15","1","10","beam","facebook/contriever",". Question: who sang i ran all the way home?","749","1_3,1_1,1_2,1_5,1_6,1_4,1_8,1_7","0.6009569764137268,0.6250652074813843,0.6962250471115112,0.6965068578720093,0.6990230083465576,0.7332822680473328,0.7342517375946045,0.7843091487884521","11.571782112121582"
"rag","16","15","1","10","beam","facebook/contriever",". Question: what is the second largest country in asia?","989","16_1,16_2,16_7,16_18,16_5,16_17,16_8,16_15,16_4,16_6","0.48837989568710327,0.533106803894043,0.5409502387046814,0.548701822757721,0.5628913044929504,0.5654380321502686,0.5716822147369385,0.580276370048523,0.5874930620193481,0.5979891419410706","11.568272590637207"
"rag","32","15","1","10","beam","facebook/contriever",". Question: who sang the theme song for the man with the golden gun?","1019","32_2,32_3,32_10,32_8,32_15,32_9,32_1,32_11,32_12,32_4","0.5049123764038086,0.5191406011581421,0.5217592120170593,0.5224823355674744,0.5453766584396362,0.5549499988555908,0.5686413049697876,0.5839129686355591,0.594976544380188,0.5958616137504578","8.564922332763672"
"rag","54","15","1","10","beam","facebook/contriever",". Question: where does the last name roberts come from?","626","54_1,54_5,54_6,54_2,54_4,54_3,54_7","0.44743460416793823,0.5438026189804077,0.5699359178543091,0.592573881149292,0.6124227046966553,0.6987707018852234,0.6996117830276489","11.55152702331543"
"rag","83","15","1","10","beam","facebook/contriever",". Question: what type of plate boundary is associated with iceland and its volcanic eruptions?","1021","83_1,83_2,83_21,83_23,83_13,83_8,83_10,83_14,83_16,83_17","0.4403124451637268,0.48810577392578125,0.4939342737197876,0.5189255475997925,0.5195068120956421,0.531902551651001,0.5325014591217041,0.5445953011512756,0.5487229824066162,0.5491024851799011","10.982016563415527"
"rag","51","15","1","10","beam","facebook/contriever",". Question: who is the captain of richmond football club?","867","51_9,51_1,51_6,51_4,51_3,51_2,51_8,51_7,51_5","0.39997655153274536,0.46011537313461304,0.4837457537651062,0.5264520645141602,0.5512321591377258,0.5558432936668396,0.5633018612861633,0.6757981777191162,0.7004004716873169","9.065654754638672"
"rag","80","15","1","10","beam","facebook/contriever",". Question: what's the difference between salisbury steak and hamburger steak?","1020","80_1,80_7,80_5,80_19,80_12,80_10,80_4,80_9,80_13,80_8","0.3693258762359619,0.44551002979278564,0.4477558135986328,0.46517813205718994,0.47543513774871826,0.5145233869552612,0.5360621213912964,0.5397025346755981,0.5609877109527588,0.5631297826766968","13.665042877197266"
"rag","79","15","1","10","beam","facebook/contriever",". Question: where is the heart of palm on a palm tree?","1016","79_1,79_5,79_6,79_2,79_10,79_4,79_9,79_3,79_8,79_7","0.45832741260528564,0.47340983152389526,0.5016918182373047,0.507787823677063,0.5421129465103149,0.5522192120552063,0.5693743228912354,0.5750958323478699,0.5790016651153564,0.757337212562561","15.992624282836914"
"rag","61","15","1","10","beam","facebook/contriever",". Question: who won the 10m air pistol gold medal at commonwealth shooting championship in brisbane australia?","1028","61_10,61_7,61_9,61_8,61_11,61_12,61_3,61_13,61_4,61_2","0.461087167263031,0.46948230266571045,0.47119414806365967,0.49792414903640747,0.5113682746887207,0.5331850051879883,0.5641102194786072,0.5653994083404541,0.5677698850631714,0.5710968971252441","4.59536075592041"
"rag","46","15","1","10","beam","facebook/contriever",". Question: how old do you have to be to get a gun licence in nz?","1018","46_1,46_11,46_5,46_2,46_13,46_12,46_8,46_3,46_7,46_4","0.3767968416213989,0.437320351600647,0.45604532957077026,0.47095435857772827,0.47284919023513794,0.4851735830307007,0.49933940172195435,0.5286576747894287,0.5518991947174072,0.5564361214637756","12.994046211242676"
"rag","65","15","1","10","beam","facebook/contriever",". Question: what is the meaning of gorakh dhanda in urdu?","836","65_7,65_2,65_5,65_6,65_8,65_4,65_1,65_9,65_3","0.5661785006523132,0.5760089159011841,0.5931627154350281,0.6085216999053955,0.613683819770813,0.6322332620620728,0.655095100402832,0.668519914150238,0.6791914701461792","10.191941261291504"
"rag","29","15","1","10","beam","facebook/contriever",". Question: when did the song things that make you go hmmm come out?","1018","29_2,29_3,29_1,29_13,29_10,29_9,29_11,29_15,29_18,29_12","0.5088328719139099,0.5987870693206787,0.6020205020904541,0.6115826368331909,0.6531728506088257,0.6820964217185974,0.6905432939529419,0.6910786032676697,0.7079871892929077,0.708019495010376","9.75031566619873"
"rag","98","15","1","10","beam","facebook/contriever",". Question: cast of the have and have nots play?","971","98_1,98_13,98_17,98_14,98_16,98_12,98_15,98_18,98_11,98_8","0.5549885630607605,0.5582758188247681,0.6155998706817627,0.6584373712539673,0.662044882774353,0.663425624370575,0.6981796026229858,0.7379648685455322,0.754793643951416,0.7679874300956726","9.227603912353516"
"rag","8","15","1","10","beam","facebook/contriever",". Question: where does the last name orozco originate from?","584","8_1,8_3,8_4,8_5,8_2,8_6","0.3877754211425781,0.43705952167510986,0.44946998357772827,0.49641168117523193,0.5254000425338745,0.6530329585075378","9.834872245788574"
"rag","58","15","1","10","beam","facebook/contriever",". Question: what is the name of india pakistan border?","1016","58_6,58_7,58_1,58_10,58_8,58_5,58_2,58_16,58_12,58_3","0.37206584215164185,0.39208441972732544,0.4206405282020569,0.47870171070098877,0.4801425337791443,0.4913964867591858,0.4947187304496765,0.5087805986404419,0.5235514640808105,0.5243295431137085","16.100427627563477"
"rag","11","15","1","10","beam","facebook/contriever",". Question: which british city is farthest from the sea?","949","11_13,11_12,11_14,11_18,11_3,11_1,11_11,11_4,11_16,11_15","0.6398863792419434,0.6422792077064514,0.6513012051582336,0.6537728309631348,0.6894494295120239,0.6994072794914246,0.7000843286514282,0.7027655839920044,0.7028249502182007,0.7065912485122681","11.15611457824707"
"rag","35","15","1","10","beam","facebook/contriever",". Question: who played mrs warboys in one foot in the grave?","969","35_1,35_5,35_4,35_6,35_7,35_3,35_14,35_2,35_12,35_9","0.5576386451721191,0.5790178179740906,0.5979528427124023,0.6568610072135925,0.6691839694976807,0.6830754280090332,0.6877681016921997,0.687951385974884,0.6951191425323486,0.6978694200515747","8.657609939575195"
"rag","19","15","1","10","beam","facebook/contriever",". Question: who stepped out of the dithyrambic chorus to become the first actor?","963","19_2,19_9,19_6,19_3,19_7,19_11,19_5,19_12,19_15,19_4","0.5073002576828003,0.5912183523178101,0.5953037738800049,0.5975645780563354,0.6054949760437012,0.6069165468215942,0.6499296426773071,0.6641291379928589,0.6667817831039429,0.6778969764709473","16.559293746948242"
"rag","40","15","1","10","beam","facebook/contriever",". Question: where was the salvation army's christmas collection kettle first introduced?","1016","40_3,40_11,40_12,40_1,40_10,40_6,40_9,40_5,40_2,40_8","0.45505261421203613,0.5270053148269653,0.5294070243835449,0.5340111255645752,0.562982439994812,0.5639479756355286,0.5659981369972229,0.5748348236083984,0.5749061107635498,0.5860055685043335","18.499120712280273"
"rag","82","15","1","10","beam","facebook/contriever",". Question: sequel to a christmas story it runs in the family?","981","82_12,82_14,82_3,82_15,82_13,82_5,82_1,82_18,82_10,82_2","0.5432683229446411,0.5653284788131714,0.6010863780975342,0.6194720268249512,0.622188150882721,0.6424201726913452,0.651305079460144,0.6570767164230347,0.6641629934310913,0.6800000667572021","12.337952613830566"
"rag","4","15","1","10","beam","facebook/contriever",". Question: where was because i could not stop for death published?","1007","4_1,4_13,4_7,4_6,4_11,4_15,4_16,4_12,4_5,4_9","0.47387176752090454,0.6061297655105591,0.6065905094146729,0.6131273508071899,0.6524392366409302,0.6604779958724976,0.7030921578407288,0.7113255262374878,0.738652229309082,0.7407885789871216","15.253851890563965"
"rag","43","15","1","10","beam","facebook/contriever",". Question: where does kfc get their chicken in south africa?","748","43_2,43_1,43_6,43_7,43_4,43_3,43_5,43_8","0.3972526788711548,0.404877245426178,0.4317370653152466,0.4374939203262329,0.4838799238204956,0.5780940651893616,0.5954575538635254,0.6859664916992188","10.50014877319336"
"rag","88","15","1","10","beam","facebook/contriever",". Question: who won the super heavyweight gold medal at the 2000 olympics?","1013","88_10,88_1,88_11,88_12,88_2,88_3,88_6,88_5,88_4,88_9","0.4138599634170532,0.48086708784103394,0.532271683216095,0.541576623916626,0.5468766689300537,0.5915598273277283,0.6357477903366089,0.654464840888977,0.6993712186813354,0.7335240244865417","7.84920072555542"
"rag","28","15","1","10","beam","facebook/contriever",". Question: when did men's curling start in the olympics?","1011","28_1,28_15,28_13,28_14,28_8,28_4,28_9,28_12,28_2,28_19","0.4311842918395996,0.4570472240447998,0.4773945212364197,0.489759624004364,0.5240054726600647,0.5460489988327026,0.5567455291748047,0.5737303495407104,0.5878005027770996,0.5898867845535278","9.691960334777832"
