"id","max_length","generation_method","userprompt","predicted","gold","bleu","rouge","correct"
"7","10","sampling_top_k","Question: who wrote trust and believe by keyshia cole? Answer:","h.
Question: who wrote the song","Guordan Banks and Jessyca Wilson of R&B duo The Righterz .,Keyshia Cole ,,Darhyl Camper , Jr. ,,Jessyca Wilson &,Guordan Banks </Td>,Guordan Banks and,Jessyca Wilson of,Keyshia Cole ,,Darhyl Camper , Jr. ,,Jessyca Wilson &,Guordan Banks </Td>","0","0.010695187165775402","0"
"44","10","sampling_top_k","Question: where is net profit on the balance sheet? Answer:"," profit is shown on the income statement.
","on the bottom line of the report .,on the bottom line of the report .,on the bottom line of the report .","0.07103125716740531","0.2857142857142857","0"
"84","10","sampling_top_k","Question: where is the table of contents found in a book? Answer:"," table of contents is found at the beginning of","usually appears after the title page , copyright notices , and , in technical journals , the abstract ; and before any lists of tables or figures , the foreword , and the preface .,usually found on a page before the start of a written work ,,usually found on a page before the start of a written work ,,usually found on a page before the start of a written work ,,on a page before the start of a written work , of its chapter or section titles or brief descriptions with their commencing page numbers .","0.023333673724315655","0.2178932178932179","0"
"96","10","sampling_top_k","Question: who became the king of ayodhya after ram? Answer:","'s son, lakshman.
","Kusha ruled,Kusha ruled,Kusha ruled,Kusha -","0","0","0"
"15","10","sampling_top_k","Question: where is net profit on the balance sheet? Answer:"," profit is shown on the income statement.
","on the bottom line of the report .,on the bottom line of the report .,on the bottom line of the report .","0.07103125716740531","0.2857142857142857","0"
"17","10","sampling_top_k","Question: what is the meaning of the name mandy? Answer:"," meaning of the name mandy is: ""","Lovable </Td>,Lovable </Td>,Lovable </Td>,Lovable </Td>","0","0","0"
"41","10","sampling_top_k","Question: when was the immigration act passed in canada? Answer:"," immigration act was passed in 1947.
Question","1923 ,,1923 ,,1923 .,1923 ,","0","0","0"
"24","10","sampling_top_k","Question: where does the last name galvez come from? Answer:"," is a spanish name.
Question:","Spanish surname .,Spanish surname","0","0.28571428571428575","0"
"21","10","sampling_top_k","Question: seven union territories of india and their capital? Answer:","aman and Nicobar Islands, Andaman and","Andaman and Nicobar Islands -- Port Blair </Li>,Chandigarh -- Chandigarh </Li>,Dadra and Nagar Haveli -- Silvassa </Li>,Daman and Diu -- Daman </Li>,Lakshwadweep -- Kavaratti </Li>,National Capital Territory -- New Delhi </Li>,Puducherry -- Pondicherry </Li>,Andaman and Nicobar Islands -- Port Blair </Li>,Chandigarh -- Chandigarh </Li>,Dadra and Nagar Haveli -- Silvassa </Li>,Daman and Diu -- Daman </Li>,Lakshwadweep -- Kavaratti </Li>,National Capital Territory -- New Delhi </Li>,Puducherry -- Pondicherry </Li>,Andaman and Nicobar Islands -- Port Blair </Li>,Chandigarh -- Chandigarh </Li>,Dadra and Nagar Haveli -- Silvassa </Li>,Daman and Diu -- Daman </Li>,Lakshwadweep -- Kavaratti </Li>,National Capital Territory -- New Delhi </Li>,Puducherry -- Pondicherry </Li>","0.12789234267667535","0.1157176157176157","0"
"22","10","sampling_top_k","Question: who played bailey in the sisterhood of the traveling pants? Answer:","anda peet.
Question: what is","Jenna Boyd was,Jenna Boyd was,Jenna Boyd was","0","0","0"
"50","10","sampling_top_k","Question: when does a building need a fire pump? Answer:"," it is required by the building code.
","the local municipal water system can not provide sufficient pressure to meet the hydraulic design requirements of the fire sprinkler system .,when the local municipal water system can not provide sufficient pressure to meet the hydraulic design requirements of the fire sprinkler system .","0.003796371780171649","0.14039408866995073","0"
"12","10","sampling_top_k","Question: where does the last name cintron come from? Answer:"," is a spanish name.
Question:","Portuguese and Spanish - French origins .,Portuguese and,Spanish - French origins,Portuguese and,Spanish - French origins","0","0.14","0"
"20","10","sampling_top_k","Question: nitty gritty dirt band fishin in the dark album? Answer:"," Nitty Gritty Dirt Band's","Hold On .","0","0","0"
"71","10","sampling_top_k","Question: who plays young voldemort in the half blood prince? Answer:"," Felton.
Question: What is the","Hero Beauregard Fiennes - Tiffin (,Hero Beauregard Fiennes - Tiffin (,Hero Beauregard Fiennes - Tiffin (,Hero Beauregard Fiennes - Tiffin (,Hero Beauregard Fiennes - Tiffin (","0","0","0"
"75","10","sampling_top_k","Question: who plays heather in beauty and the beast? Answer:","ather matthews.
Question: who","Nicole Gale Anderson (,Nicole Gale Anderson (,Nicole Gale Anderson (,Nicole Gale Anderson (,Nicole Gale Anderson (","0","0","0"
"57","10","sampling_top_k","Question: who is the president of the republic of zambia? Answer:","gar lungu.
Question: who is","Edgar Lungu since,Edgar Lungu .,Edgar Lungu since,Edgar Lungu since,Edgar Lungu .","0","0.26428571428571435","0"
"36","10","sampling_top_k","Question: who sang how long has this been going on song? Answer:"," long has this been going on by the tempt","Ace from,Ace from,Ace from","0","0","0"
"13","10","sampling_top_k","Question: if i die before i wake feed jake original? Answer:",", you can.
Question: if i","American country music band Pirates of the Mississippi .","0","0","0"
"55","10","sampling_top_k","Question: where is creatine phosphate found in the body? Answer:","ine phosphate is found in the muscle cells.","skeletal muscle and the brain to,muscle cells (,brain ,,heart ,,pancreas .","0.03401086821506398","0.10857142857142858","0"
"14","10","sampling_top_k","Question: what kind of trees have heart shaped leaves? Answer:"," maple tree.
Question: what kind of","Eastern Redbud </Li>,Linden </Li>,Catalpa </Li>,Eastern Redbud </Li>","0","0","0"
"70","10","sampling_top_k","Question: where was gunsmoke to the last man filmed? Answer:"," film was shot in colorado.
Question","Tucson , Arizona </Td>,Tucson , Arizona </Td>,Tucson , Arizona </Td>,Tucson , Arizona </Td>","0","0","0"
"2","10","sampling_top_k","Question: when did bihar bifurcate from bengal and some parts of chota nagpur merged into bengal? Answer:","englanded in the year 1905.
","1912 .,1912 .","0","0","0"
"47","10","sampling_top_k","Question: yo la tengo theres a riot going on release date? Answer:","res a riot going on is scheduled to be","March 16 , 2018 .,March 16 , 2018 .,March 16 , 2018 .,March 16 , 2018 .,March 16 , 2018 .","0","0","0"
"77","10","sampling_top_k","Question: first day collection of mission china assamese film? Answer:"," China is a Assamese film directed by","₹ 39.97 lakh ,","0","0","0"
"1","10","sampling_top_k","Question: who stepped out of the dithyrambic chorus to become the first actor? Answer:"," actor was the first to step out of the","Thespis was,Thespis was,Thespis (","0.02573285025273419","0.1212121212121212","0"
"16","10","sampling_top_k","Question: where is creatine phosphate found in the body? Answer:","ine phosphate is found in the muscle cells.","skeletal muscle and the brain to,muscle cells (,brain ,,heart ,,pancreas .","0.03401086821506398","0.10857142857142858","0"
"32","10","sampling_top_k","Question: who sang the song brother let me be your shelter? Answer:"," song was written by the band the brothers of","American Christian rock band Needtobreathe .,Needtobreathe .","0.02573285025273419","0.07142857142857142","0"
"54","10","sampling_top_k","Question: isdn uses b & d channels. what is d channel use for? Answer:"," channel d is used for data.
Question","control and signaling information .,data (,carries control and signaling information .,control and signaling information .","0","0.0625","0"
"83","10","sampling_top_k","Question: who played bailey in the sisterhood of the traveling pants? Answer:","anda peet.
Question: what is","Jenna Boyd was,Jenna Boyd was,Jenna Boyd was","0","0","0"
"51","10","sampling_top_k","Question: seven union territories of india and their capital? Answer:","aman and Nicobar Islands, Andaman and","Andaman and Nicobar Islands -- Port Blair </Li>,Chandigarh -- Chandigarh </Li>,Dadra and Nagar Haveli -- Silvassa </Li>,Daman and Diu -- Daman </Li>,Lakshwadweep -- Kavaratti </Li>,National Capital Territory -- New Delhi </Li>,Puducherry -- Pondicherry </Li>,Andaman and Nicobar Islands -- Port Blair </Li>,Chandigarh -- Chandigarh </Li>,Dadra and Nagar Haveli -- Silvassa </Li>,Daman and Diu -- Daman </Li>,Lakshwadweep -- Kavaratti </Li>,National Capital Territory -- New Delhi </Li>,Puducherry -- Pondicherry </Li>,Andaman and Nicobar Islands -- Port Blair </Li>,Chandigarh -- Chandigarh </Li>,Dadra and Nagar Haveli -- Silvassa </Li>,Daman and Diu -- Daman </Li>,Lakshwadweep -- Kavaratti </Li>,National Capital Territory -- New Delhi </Li>,Puducherry -- Pondicherry </Li>","0.12789234267667535","0.1157176157176157","0"
"80","10","sampling_top_k","Question: who wrote the song the glory of love? Answer:"," glory of love was written by the english composer","Billy Hill ,,Billy Hill ,,Billy Hill ,,Billy Hill ,","0","0","0"
"79","10","sampling_top_k","Question: where is most of the worlds gold held? Answer:"," the vaults of the Federal Reserve.
","United States </Td>,United States </Td>,United States </Td>","0","0","0"
"61","10","sampling_top_k","Question: who wrote the song rainy days and mondays? Answer:"," song rainy days and mondays was written","Paul Williams ;,Roger Nichols </Td>,Roger Nichols and Paul Williams .,Roger Nichols and,Paul Williams .,Roger Nichols and,Paul Williams .,Roger Nichols and,Paul Williams .","0.03235934848975789","0.0851851851851852","0"
"46","10","sampling_top_k","Question: what does it mean if a car is a fleet vehicle? Answer:"," fleet vehicle is a car that is owned by","groups of motor vehicles owned or leased by a business , government agency or other organization rather than by an individual or family .,owned or leased by a business , government agency or other organization rather than by an individual or family .","0.009976169964468675","0.17084826762246116","0"
"65","10","sampling_top_k","Question: another name for the torso is the blank region of the body? Answer:"," torso is the upper part of the body.","trunk ,","0","0","0"
"29","10","sampling_top_k","Question: who played anna in once upon a time? Answer:","ennifer morrison.
Question: who","Elizabeth Dean Lail (,Elizabeth Dean Lail (,Elizabeth Dean Lail (,Elizabeth Dean Lail (","0","0","0"
"98","10","sampling_top_k","Question: actress who plays penelope garcia on criminal minds? Answer:","irsten vangsness.
Question:","Kirsten Simone Vangsness (,Kirsten Simone Vangsness (,Kirsten Simone Vangsness (,Kirsten Simone Vangsness (,Kirsten Simone Vangsness (","0","0.3333333333333333","0"
"8","10","sampling_top_k","Question: who sings don't take your guns to town? Answer:"," band the bandit kings.
Question:","Johnny Cash .,Johnny Cash .,U2 on,Johnny Cash .,Johnny Cash .,Johnny Cash .","0","0","0"
"58","10","sampling_top_k","Question: what was the first capital city of australia? Answer:","dney.
Question: what was the","Melbourne was,Sydney </Td>,New South Wales </Td>,Melbourne was,Melbourne was","0.0456496931223525","0.17142857142857143","0"
"11","10","sampling_top_k","Question: when did the rational dress society begin to work? Answer:"," the early 19th century.
Question:","1881 in,1881 in,1881 in","0","0","0"
"35","10","sampling_top_k","Question: india's first arctic research station set up in 2008 what is the name? Answer:","ia's first arctic research station is set","Himadri Station is,Himadri Station is,Himadri Station is,Himadri Station is,Himadri Station is","0.03235934848975789","0.36363636363636365","0"
"19","10","sampling_top_k","Question: who wrote the song what child is this? Answer:"," song was written by William Chatterton Dix","William Chatterton Dix ,,William Chatterton Dix ,,William Chatterton Dix ,,William Chatterton Dix ,,lyrics were written by William Chatterton Dix ,","0.5329462628216854","0.6228571428571429","0"
"40","10","sampling_top_k","Question: who wrote lord have mercy on the working man? Answer:"," song was written by the english poet and novelist","Kostas and,Kostas and,Kostas and,Kostas </Td>,Kostas and","0.02573285025273419","0.14545454545454545","0"
"82","10","sampling_top_k","Question: the world famous corn belt is in which country? Answer:"," world famous corn belt is in the united states","the United States .,United States that,United States that,United States that,United States that","0.02573285025273419","0.3666666666666666","0"
"4","10","sampling_top_k","Question: where did the tradition of gift giving come from? Answer:"," the ancient Egyptians.
Question: what","in ancient Rome with gift - giving during the Saturnalia holiday ,","0.013386994550858783","0.13333333333333333","0"
"43","10","sampling_top_k","Question: where did the last name keith come from? Answer:"," was a family name.
Question: what","a nickname , derived from the Middle High German kīt , a word meaning `` sprout '' , `` offspring '' .,from Keith in East Lothian , Scotland .,from a nickname , derived from the Middle High German kīt , a word meaning `` sprout '' , `` offspring '' .,from Keith in East Lothian , Scotland .,from a nickname , derived from the Middle High German kīt , a word meaning `` sprout '' , `` offspring '' .","0.026936851496754878","0.0554112554112554","0"
"88","10","sampling_top_k","Question: which central american nations border the pacific ocean and the caribbean sea? Answer:","a rica, guatemala, h","Costa Rica </Td>,Nicaragua </Td>,Nicaragua </Td>,Costa Rica </Td>","0","0.14285714285714288","0"
"28","10","sampling_top_k","Question: what's the biggest country in western europe? Answer:","ance.
Question: what's the biggest","France </Td>,Russia * </Td>,Russia *","0","0","0"
"10","10","sampling_top_k","Question: who plays general hux in the last jedi? Answer:"," last jedi is a 2017 american epic","Domhnall Gleeson .,Domhnall Gleeson .,Domhnall Gleeson .,Domhnall Gleeson .,Domhnall Gleeson .","0","0","0"
"37","10","sampling_top_k","Question: who is usually appointed as the chief justice of india? Answer:"," president of india appoints the chief justice","the senior-most judge of the supreme court as,the senior-most judge of the supreme court as,the senior-most judge of the supreme court as,the senior-most judge of the supreme court as,the senior-most judge ( i.e. by date of appointment to the Supreme Court ) for","0.033359167130736105","0.2545454545454545","0"
"86","10","sampling_top_k","Question: mandatory elements in the definition of an adverse event (ae)? Answer:","e is defined as any untoward medical","any unfavourable and unintended sign ( including an abnormal laboratory finding ) , symptom , or disease temporally associated with the use of a medicinal ( investigational ) product , whether or not related to the medicinal ( investigational ) product .","0.000218035575048925","0.05128205128205128","0"
"5","10","sampling_top_k","Question: where does the last name andersen originate from? Answer:"," last name andersen originates from the old","Danish - Norwegian patronymic surname meaning `` son of Anders '' (,Danish -,Norwegian patronymic","0","0","0"
"94","10","sampling_top_k","Question: who sings god is great beer is good? Answer:"," song is called ""God is Great, Beer","Currington 's","0","0","0"
"56","10","sampling_top_k","Question: the nurses' health study is an example of what type of study? Answer:"," cohort study.
Question: the nurses'","a series of prospective studies that examine epidemiology and the long - term effects of nutrition , hormones , environment , and nurses ' work - life on health and disease development .,prospective studies,long - term effects,prospective studies,prospective studies that","0.0456496931223525","0.20299539170506914","0"
"6","10","sampling_top_k","Question: who said what we got here is failure to communicate? Answer:"," guy who wrote the book.
I’","Strother Martin ( as the Captain , a prison warden ) and,by Strother Martin ( as the Captain , a prison warden ) and later , abridged , by Paul Newman ( as Luke , a stubborn prisoner ) .,Strother Martin ( as the Captain , a prison warden ) and,Paul Newman ( as Luke , a stubborn prisoner ) .,Strother Martin ( as the Captain , a prison warden ) and,Paul Newman ( as Luke , a stubborn prisoner ) .","0.016338026308907974","0.07948717948717948","0"
"76","10","sampling_top_k","Question: who was tammy from basketball wives married to? Answer:","my from basketball wives was married to a guy","Kenny Anderson .,Kenny Anderson (,Kenny Anderson (,basketball player Kenny Anderson .,Kenny Anderson .","0.02573285025273419","0.030769230769230764","0"
"72","10","sampling_top_k","Question: the initial unification of upper and lower egypt took place during which period? Answer:"," unification of upper and lower egypt took","c. 3000 BC ,,3000 BC ,","0","0","0"
"85","10","sampling_top_k","Question: who propounded the idea of basic education in india? Answer:"," idea of basic education was propounded by the","Mahatma Gandhi are,Mahatma Gandhi are,Mahatma Gandhi are","0","0","0"
"90","10","sampling_top_k","Question: which site of an enzyme is called allosteric site? Answer:"," site of an enzyme which is called allost","regulatory site (,regulatory site (,regulatory site (,regulatory site (,regulatory site (","0.028599617161713803","0.2","0"
"48","10","sampling_top_k","Question: where is creatine phosphate found in the body? Answer:","ine phosphate is found in the muscle cells.","skeletal muscle and the brain to,muscle cells (,brain ,,heart ,,pancreas .","0.03401086821506398","0.10857142857142858","0"
"0","10","sampling_top_k","Question: where do you find the adjusted gross income? Answer:"," the 1040 form.
Question: what","calculated by subtracting Above - the - line deduction from gross income .,by subtracting Above - the - line deduction from gross income .","0.011257075728838162","0.1380952380952381","0"
"49","10","sampling_top_k","Question: hyori bed and breakfast season 2 air date? Answer:","ori bed and breakfast season 2 air date is","February 4 , 2018 </Td>","0","0","0"
"95","10","sampling_top_k","Question: who has the most goals in soccer 2018? Answer:","el Messi.
Question: who has","Ali Daei ,","0","0","0"
"73","10","sampling_top_k","Question: who wrote were going on a bear hunt? Answer:"," Rosen.
Question: what is the name","Michael Rosen and,Michael Rosen and,Michael Rosen and,Michael Rosen and,Michael Rosen and","0","0.22222222222222224","0"
"30","10","sampling_top_k","Question: who said some are born great in twelfth night? Answer:"," fool.
Question: who said some are","Malvolio says,Malvolio says,letter that Maria wrote )","0","0","0"
"62","10","sampling_top_k","Question: who sang the song brother let me be your shelter? Answer:"," song was written by the band the brothers of","American Christian rock band Needtobreathe .,Needtobreathe .","0.02573285025273419","0.07142857142857142","0"
"34","10","sampling_top_k","Question: who is the present president of assam sahitya sabha? Answer:"," present president of assam sahitya","Dhrubajyoti Bora </Td>,Dhrubajyoti Bora </Td>,Dhrubajyoti Bora </Td>,Dhrubajyoti Bora </Td>,Dhrubajyoti Bora </Td>","0","0","0"
"99","10","sampling_top_k","Question: when did skiing halfpipe become an olympic event? Answer:"," 1998.
Question: what is the name","2014 Winter,2014 Winter,2014 Olympic,2014 Winter,2014 Winter","0","0","0"
"64","10","sampling_top_k","Question: when was the lupus foundation of america founded? Answer:"," lupus foundation of america was founded in","1977 ,,1977 ,,1977 ,,1977 ,,1977 ,","0","0","0"
"3","10","sampling_top_k","Question: who is the actress who plays baker on blue bloods? Answer:"," actress who plays baker on blue bloods","Abigail Hawk (,Abigail Hawk ( born Abigail Diane Gustafson ) is,Abigail Hawk (,Abigail Hawk (,Abigail Hawk ( born Abigail Diane Gustafson ) is","0","0","0"
